Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (Bioconfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,AGILENTID,CAS,Compound ID,Name,Cpd,HMP,KEGG,Label,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Hits (DB),Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),Quality Score,RT,Saturated,Start,Width,Library,Score (Lib),Cpds/Group,Group,Std Dev,Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,FIs Conf.,FIs Conf. %,FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,IRM Calibration status
,,,,,,,,,,,,,,,,,,,,,,1,,,Cpd 1: 325.9892,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,326.0929,324.9821,1,,,20140424-306.d,1.489,,,2218,,,3,Negative,-1,-1,,325.9892,,324.9821,,80,1.118,,0.66,0.521,,,1,1,0.0016,0.01,93171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,2,,,Cpd 2: 303.9757,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,304.0373,302.9684,1,,,20140424-306.d,1.423,,,6468,,,2,Negative,-1,-1,,303.9757,,302.9684,,100,1.172,,0.792,0.323,,,1,2,,0.02,121364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,3,,,Cpd 3: 721.9556,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,722.8716,720.9483,1,,,20140424-306.d,1.306,,,2246,,,3,Negative,-1,-1,,721.9556,,720.9483,,100,1.186,,1.091,0.139,,,5,3,,0.01,41344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,4,,,Cpd 4: 801.9296,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,802.4745,800.9223,1,,,20140424-306.d,1.34,,,6791,,,3,Negative,-1,-1,,801.9296,,800.9223,,93.9,1.189,,1.107,0.155,,,5,3,,0.01,92709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,5,,,Cpd 5: 357.9838,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,358.0967,356.9765,1,,,20140424-306.d,1.505,,,29084,,,3,Negative,-1,-1,,357.9838,,356.9765,,100,1.194,,0.842,0.271,,,5,3,,0.07,511439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,6,,,Cpd 6: 373.9784,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,374.051,372.9711,1,,,20140424-306.d,1.423,,,5634,,,2,Negative,-1,-1,,373.9784,,372.9711,,80.4,1.196,,0.527,0.487,,,5,3,,0.02,111029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,7,,,Cpd 7: 599.9609,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,600.7324,598.9536,1,,,20140424-306.d,1.356,,,3612,,,3,Negative,-1,-1,,599.9609,,598.9536,,100,1.198,,1.074,0.167,,,5,3,,0.01,69918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,8,,,Cpd 8: 533.9891,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,534.486,532.9818,1,,,20140424-306.d,1.356,,,3302,,,3,Negative,-1,-1,,533.9891,,532.9818,,100,1.202,,1.091,0.158,,,15,4,,0.01,48424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,9,,,Cpd 9: 681.9641,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,682.6844,680.9568,1,,,20140424-306.d,1.34,,,4454,,,3,Negative,-1,-1,,681.9641,,680.9568,,100,1.204,,1.074,0.15,,,15,4,,0.01,76169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,10,,,Cpd 10: 437.9716,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,438.303,436.9644,1,,,20140424-306.d,1.373,,,5686,,,3,Negative,-1,-1,,437.9716,,436.9644,,100,1.204,,1.041,0.168,,,15,4,,0.01,80820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,11,,,Cpd 11: 249.9630,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,250.0212,248.9557,1,,,20140424-306.d,1.423,,,15705,,,2,Negative,-1,-1,,249.963,,248.9557,,100,1.205,,1.008,0.196,,,15,4,,0.03,212109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,12,,,Cpd 12: 301.9955,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,301.9955,602.9833,1,,,20140424-306.d,1.34,,,1529,,,2,Negative,-1,-1,,301.9955,,602.9833,,80,1.208,,1.074,0.165,,,15,4,0.0003,0.01,46707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,13,,,Cpd 13: 615.9894,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,616.4264,614.9821,1,,,20140424-306.d,1.356,,,4425,,,3,Negative,-1,-1,,615.9894,,614.9821,,100,1.208,,1.091,0.152,,,15,4,,0.01,64702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,14,,,Cpd 14: 845.9680,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,846.7704,844.9608,1,,,20140424-306.d,1.306,,,3877,,,3,Negative,-1,-1,,845.968,,844.9608,,99.9,1.209,,1.124,0.121,,,15,4,,0.01,61621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,15,,,Cpd 15: 247.9877,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,248.0553,246.9804,1,,,20140424-306.d,1.406,,,14046,,,2,Negative,-1,-1,,247.9877,,246.9804,,100,1.21,,1.041,0.18,,,15,4,,0.03,187139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,16,,,Cpd 16: 763.9654,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,764.6901,762.9581,1,,,20140424-306.d,1.323,,,4220,,,3,Negative,-1,-1,,763.9654,,762.9581,,100,1.21,,1.091,0.138,,,15,4,,0.01,72610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,17,,,Cpd 17: 697.9882,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,698.6663,696.9809,1,,,20140424-306.d,1.34,,,3601,,,3,Negative,-1,-1,,697.9882,,696.9809,,100,1.211,,1.091,0.141,,,15,4,,0.01,59042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
,,,,,,,,,,,,,,,,,,,,,,18,,,Cpd 18: 329.9916,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,330.0721,328.9843,1,,,20140424-306.d,1.389,,,20036,,,2,Negative,-1,-1,,329.9916,,328.9843,,100,1.212,,1.041,0.17,,,15,4,,0.04,251311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140424-306,Sample,Instrument 1,P1-F6,,Success
